Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
SELECT SQL_NO_CACHE * FROM `payment`,*,2,0,2,373.60,206.50,186.80,18,9.0,18,9.0,0,0,0,0,e251c5f3c782771641a50bc616c78fe0abd94ae866dd14bc77b34cea2b5d4f5a
SELECT SQL_NO_CACHE * FROM `amenities_provided`,,2,0,2,372.50,232.70,186.20,80,40.0,80,40.0,0,0,0,0,9121b75e13d5dd36670d402fa3bc11cea43e47ebf1a3c79477fb0e46986d321b
SELECT SQL_NO_CACHE * FROM `verification`,*,2,0,2,370.10,215.50,185.00,6,3.0,6,3.0,0,0,0,0,5ccec0dabcd15782940c49b999dc65a8006557bf384878de827732b904aea023
SHOW CREATE SCHEMA `sql_hr`,,1,0,0,340.20,340.20,340.20,0,0.0,0,0.0,0,0,0,0,e935b8b8be1ab987031fb71d7030f1070255f8f64ac7e00da1ff8c8731a180ea
SHOW CREATE SCHEMA `performance_schema`,,1,0,0,339.10,339.10,339.10,0,0.0,0,0.0,0,0,0,0,da8b9599b10e3d73d469142f0ae16ae448df92365f2d686ba941256a953f2e0b
UNLOCK TABLES,,4,0,0,322.50,100.20,80.60,0,0.0,0,0.0,0,0,0,0,e23574188e2b698a8fcd97f399be9bc361e084013df642464d600c0762c8fa39
SHOW CREATE SCHEMA `alex_analyst_sql_tutorial`,,1,0,0,254.50,254.50,254.50,0,0.0,0,0.0,0,0,0,0,95f36e413743eaf689fc6a61d8fd71fe39cc6d537b91e5eaf56d392bd309e44d
SHOW CREATE SCHEMA `hw_4`,,1,0,0,241.80,241.80,241.80,0,0.0,0,0.0,0,0,0,0,8823ec3ff294d1ac261676905bf004fffeb69d7745061d346059d54e96e20577
SELECT @@`performance_schema`,,2,0,0,219.20,109.90,109.60,2,1.0,2,1.0,0,0,0,0,48d06d86b583ece1b6a7ac4a0e7f258d15266bea0382ff8de286e65fbf284384
USE `SJSU_Rental_Database`,,1,0,0,204.50,204.50,204.50,0,0.0,0,0.0,0,0,0,0,0d547b920252868f51f57a0b02c4d209dfa979d164ca3508a4708caa71cd1fa6
SELECT SCHEMA ( ),,1,0,0,188.00,188.00,188.00,1,1.0,1,1.0,0,0,0,0,ce04eda080d3f5605113e1d0d47c2f20e23b091e2487ba586f07b32cda423942
SET `SQL_SAFE_UPDATES` = ?,,1,0,0,169.70,169.70,169.70,0,0.0,0,0.0,0,0,0,0,05a9d2cc7f87b977af87566844ff7bee31fc9602525cd898eb23cb8a005097cd
USE `hw_4`,,2,0,0,156.10,91.60,78.00,0,0.0,0,0.0,0,0,0,0,75d8c9697303e28c4ee764cc8db71feedf72fb5c94e2becd684fc8a2caa97aa1
USE `sjsu_rental_database`,,1,0,0,150.50,150.50,150.50,0,0.0,0,0.0,0,0,0,0,0f118f944a64a593bfbbfa6a8e2cbce9db084bdaa5498cb0e6678ab9b15a4674
SHOW CREATE SCHEMA `information_schema`,,1,0,0,144.90,144.90,144.90,0,0.0,0,0.0,0,0,0,0,086f32ce4975d78e095b33bdaf9175bb0e652232e931c437559c0c31ee1f41b3
SHOW WARNINGS,,1,0,0,67.60,67.60,67.60,0,0.0,0,0.0,0,0,0,0,118d653c380580e38366e6c2f770958c117ff4937f4a30ea3b324cc43674dc3e
SHOW WARNINGS,,1,0,0,58.50,58.50,58.50,0,0.0,0,0.0,0,0,0,0,118d653c380580e38366e6c2f770958c117ff4937f4a30ea3b324cc43674dc3e
